,data,label
51947,jat lio 1,jatine lio 1
51948,gad elok utara 3,gading elok utara 3
51949,notaris hendro harta sh,"notaris hendro hartanto, sh"
51950,raya bojong,raya bojongsari
51951,pengurus rant nahdlatul ulama,pengurus ranting nahdlatul ulama
51952,sd neg jatisari ii,sd negeri jatisari ii
51953,law sake,law saketeng
51954,kama cottage,kamasan cottage
51955,narj,narjito
51956,sd neg 097329 sinta dame 1,sd negeri 097329 sinta dame 1
51957,sd negeri 097 sinta dame 1,sd negeri 097329 sinta dame 1
51958,mela sire,melanton sire
51959,ruko naga swal,ruko naga swalayan
51960,apo k-24,apotek k-24
51961,sagu panj,saguling panj
51962,ang s com,anggra s com
51963,sind palay,sindang palay
51964,dpc dpu organda angk akap,dpc dpu organda angkutan akap
51965,warung seb pelangi,warung seblak pelangi
51966,putra cania fash,putra cania fashion
51967,perum perhu unit ii jawa timur,perum perhutani unit ii jawa timur
51968,taman pendid al-quran,taman pendidikan al-quran
51969,taman pendidikan al-q,taman pendidikan al-quran
51970,madrasah ibtida guppi cinini,madrasah ibtidaiyah guppi cinini
51971,nusan mart,nusantara mart
51972,war ayu,warung ayu
51973,kios buah anug 2,kios buah anugrah 2
51974,muti imam as syafi'i,mutiara imam as syafi'i
51975,fried chic,fried chicken
51976,mun kel bal,munduk kel bal
51977,desa cidu,desa cidulang
51978,toko plas 72,toko plastik 72
51979,pot rambut,potong rambut
51980,apo wahdah,apotek wahdah
51981,churr cafe,churreria cafe
51982,tedmon pratamasemesta pt,tedmonnindo pratamasemesta pt
51983,rawa sela 1,rawa selatan 1
51984,beng bersaudara motor,bengkel bersaudara motor
51985,mas pusaka ranjok,masjid pusaka ranjok
51986,masjid pus ranjok,masjid pusaka ranjok
51987,teng,tenggiri
51988,prp rac purbalingga home industri exhaust for vespa,prp racing purbalingga home industri exhaust for vespa
51989,prp racing purbalingga home indu exhaust for vespa,prp racing purbalingga home industri exhaust for vespa
51990,prp racing purbalingga home industri exha for vespa,prp racing purbalingga home industri exhaust for vespa
51991,toko bang panglong rezekijojo,toko bangunan panglong rezekijojo
51992,pepa,pepabri
51993,warung sate mad,warung sate madura
51994,brig kata,brigjen. kata
51995,masjid al mukm irok,masjid al mukminun irok
51996,mob phone shop,mobile phone shop
51997,r.e. martad cipu,r.e. martadinata cipu
51998,raya mari,raya maribaya
51999,bat indah i,batunu indah i
52000,rumahf payroll,rumahfresh payroll
52001,tk mift giri,tk miftahul giri
52002,perum pondok labu indah,perumahan pondok labu indah
52003,perumahan pon labu indah,perumahan pondok labu indah
52004,taman sura getar,taman suramadu getar
52005,war jerri,warung jerri
52006,lapa serba guna griya devie,lapangan serba guna griya devie
52007,kar bayan,karang bayan
52008,ud. muha idris,ud. muhammad idris
52009,resi production,resitama production
52010,karina bri house,karina bridal house
52011,komp depag,komplek depag
52012,pemak umum,pemakaman umum
52013,war kopi bamboe,warung kopi bamboe
52014,kamp bali 3,kampung bali 3
52015,apo yunan farma,apotek yunan farma
52016,pt bfi finance indon tbk,pt bfi finance indonesia tbk
52017,jl. supr,jl. supriadi
52018,mas jami al-mubarok,masjid jami al-mubarok
52019,iska muda,iskandar muda
52020,gajah dem,gajah dempet
52021,kli kimia farma,klinik kimia farma
52022,war szr,wartel szr
52023,maje taklim ussisa alattaqwa,majelis taklim ussisa alattaqwa
52024,majelis tak ussisa alattaqwa,majelis taklim ussisa alattaqwa
52025,majelis taklim uss alattaqwa,majelis taklim ussisa alattaqwa
52026,war makan kang tong,warung makan kang tong
52027,p. dip,p. dipone
52028,forum dae usaha kecil kalbar forda ukm kalbar,forum daerah usaha kecil kalbar forda ukm kalbar
52029,war makan bang ari,warung makan bang ari
52030,pt. ipot indo prem securities,pt. ipot indo premier securities
52031,dan pendidikan dan pelatihan provinsi jawa timur,badan pendidikan dan pelatihan provinsi jawa timur
52032,badan pendid dan pelatihan provinsi jawa timur,badan pendidikan dan pelatihan provinsi jawa timur
52033,badan pendidikan dan pelat provinsi jawa timur,badan pendidikan dan pelatihan provinsi jawa timur
52034,kairo hijab fash store,kairo hijab fashion store
52035,sriwi utara iv,sriwibowo utara iv
52036,bor kost putra,borneo kost putra
52037,bali isl furniture,bali island furniture
52038,war mini 15,warung mini 15
52039,jat timur 2,jatine timur 2
52040,mary,maryono
52041,jend bas rahmat,jendral bas rahmat
52042,lt. base,lt. basement
52043,smk mand jember,smk mandala jember
52044,med apotek,medina apotek
52045,"pun sari, bojong koneng atas","puncak sari, bojong koneng atas"
52046,"puncak sari, boj koneng atas","puncak sari, bojong koneng atas"
52047,apo total e & p indonesie,apotik total e & p indonesie
52048,"notaris dyah kusumani sh., m.kn","notaris dyah kusumaningrum, sh., m.kn"
52049,jend ahmad yani,jenderal ahmad yani
52050,pt. semarang teh industri,pt. semarang tehnik industri
52051,aneka pili sambal,aneka pilihan sambal
52052,war nasi sahabat,warung nasi sahabat
52053,pondok bakso ais 2,pondok bakso aisyah 2
52054,raya han,raya hankam
52055,masjid al aqo pusri,masjid al aqobah pusri
52056,arm finance,armada finance
52057,bank neg indonesia,bank negara indonesia
52058,madr diniyah balung kidul as salafi,madrasah diniyah balung kidul as salafi
52059,madrasah dini balung kidul as salafi,madrasah diniyah balung kidul as salafi
52060,madrasah diniyah bal kidul as salafi,madrasah diniyah balung kidul as salafi
52061,lima pus toko,lima pusaka toko
52062,badan pengend lingkungan hidup pemerintah kabupaten bandung,badan pengendalian lingkungan hidup pemerintah kabupaten bandung
52063,badan pengendalian lingku hidup pemerintah kabupaten bandung,badan pengendalian lingkungan hidup pemerintah kabupaten bandung
52064,badan pengendalian lingkungan hidup pemeri kabupaten bandung,badan pengendalian lingkungan hidup pemerintah kabupaten bandung
52065,pengen official,pengenfemes official
52066,pengenfemes offi,pengenfemes official
52067,mie goreng simpa cilodong,mie goreng simpangan cilodong
52068,mas al palah,masjid al palah
52069,masjid al al,masjid al palah
52070,per binong per blok d,perum binong per blok d
52071,perum bin per blok d,perum binong per blok d
52072,war serapan pagi,warung serapan pagi
52073,selaras cate,selaras catering
52074,toko kue ker eko,toko kue kering eko
52075,dr. hen a. choandry sppd,dr. hendra a. choandry sppd
52076,dr. hendra a. choa sppd,dr. hendra a. choandry sppd
52077,perum. pon pekayon indah,perum. pondok pekayon indah
52078,war kopi,warung kopi
52079,private deal,private deals.cv
52080,max balikpapan,maxbar balikpapan
52081,indom,indomaret
52082,ray white pesa (mulia persada amaruch. pt),ray white pesanggrahan (mulia persada amaruch. pt)
52083,ray white pesanggrahan (mulia persada amar pt),ray white pesanggrahan (mulia persada amaruch. pt)
52084,aqua,aquaist
52085,kota lang sumut,kota langsa- sumut
52086,bim maju bersama,bimbel maju bersama
52087,ger kristen indonesia,gereja kristen indonesia
52088,gereja kristen indon,gereja kristen indonesia
52089,pusat gro jilbab dzakwan,pusat grosir jilbab dzakwan
52090,chali grafika,chalistya grafika
52091,pasar leuwi panj,pasar leuwi panjang
52092,bin multi pritama pt,bintan multi pritama pt
52093,bintan multi prit pt,bintan multi pritama pt
52094,dekor pratama gypsum,dekorindo pratama gypsum
52095,dekorindo prat gypsum,dekorindo pratama gypsum
52096,jend sudi,jenderal sudi
52097,new trend cell,new trend cellular
52098,taman kanak kanak dharma wanita jati udan,taman kanak kanak dharma wanita jati udanawu
52099,perm ud,permata. ud
52100,tm tri mebel banyum,tm tri mebel banyumanik
52101,jl. jend. sudi jl. p.b. sudi,jl. jend. sudi jl. p.b. sudirman
52102,mas jamie nurul huda,masjid jamie nurul huda
52103,bendungan sigura v,bendungan sigura-gura v
52104,pt freya indotama rawamangun,pt freyabadi indotama rawamangun
52105,serv dinamo langgeng,service dinamo langgeng
52106,service din langgeng,service dinamo langgeng
52107,service dinamo lang,service dinamo langgeng
52108,tent pela,tentara pela
52109,al-f ii,al-falah ii
52110,baso kang permata,baso kangkung permata
52111,baso kangkung perm,baso kangkung permata
52112,indom,indomaret
52113,nar mobil,nar mobilindo
52114,muara enim,muara enim-l
52115,ruko term sukabumi tipe a,ruko terminal sukabumi tipe a
52116,war puya,warkop puya
52117,mas raya,masjid raya
52118,guntur puria consultant. cv,guntur puriatama consultant. cv
52119,guntur puriatama consul cv,guntur puriatama consultant. cv
52120,griya mas kara,griya mas karawang
52121,konveksi mus,konveksi muslim
52122,apo aqina farma,apotek aqina farma
52123,praktik dok indah noor hayati,praktik dokter indah noor hayati
52124,kan dhanies,kantin dhanies
52125,kantin dhan,kantin dhanies
52126,indo kitacipta karya pt,indomak kitacipta karya pt
52127,indomak kitac karya pt,indomak kitacipta karya pt
52128,den,denpas
52129,sia ud,siami. ud
52130,dok h prayogo spa,dokter h prayogo spa
52131,dokter h pray spa,dokter h prayogo spa
52132,kantor jamkr takengon,kantor jamkrindo takengon
52133,rm bundo mey masakan padang,rm bundo meylin masakan padang
52134,rm bundo meylin masa padang,rm bundo meylin masakan padang
52135,pang wantcu,pangkas wantcu
52136,capu enterprise ltd pt,caputra enterprise ltd pt
52137,cah muliya,cahaya muliya
52138,toko perk,toko perkakas
52139,prak dokter gigi michael eka putra,praktik dokter gigi michael eka putra
52140,praktik dok gigi michael eka putra,praktik dokter gigi michael eka putra
52141,tangk per,tangkuban per
52142,teles shop - plaza baru ciledug,telesindo shop - plaza baru ciledug
52143,telesindo shop - plaza baru cile,telesindo shop - plaza baru ciledug
52144,perum bangun sari indah,perumahan bangun sari indah
52145,tamb iv,tambora iv
52146,sd neg 02 leuwiliang,sd negeri 02 leuwiliang
52147,mie pang rengat suching,mie pangsit rengat suching
52148,mie pangsit ren suching,mie pangsit rengat suching
52149,isla cen 2,islamic cen 2
52150,kota wis medical center,kota wisata medical center
52151,kota wisata medi center,kota wisata medical center
52152,holongmarsada perk pt,holongmarsada perkasa pt
52153,sya imam subkhi,syaiin imam subkhi
52154,azi olshop,azizah olshop
52155,keja putih muti 9,kejawan putih muti 9
52156,muti laundry,mutiara laundry
52157,bank syar mandiri,bank syariah mandiri
52158,super tai,super tailor
52159,ser rempah,seribu rempah
52160,dhar indah timur,dharmah indah timur
52161,cili 4,ciliwung 4
52162,supp telor surya jaya,supplier telor surya jaya
52163,let sutopo,letnan sutopo
52164,jeni asm hidroponik,jeni asmara hidroponik
52165,cv. antla batam,cv. antlantik batam
52166,boule grand depok city,boulevard grand depok city
52167,palang rawi,palangkara rawi
52168,mas baitul mukminan,masjid baitul mukminan
52169,peri kem,peri kemerd
52170,media interline electronic,mediatama interline electronic
52171,dok gigi rina yulia wulandari dok gigi,dokter gigi rina yulia wulandari dokter gigi
52172,dok gigi rina yulia wulandari dok gigi,dokter gigi rina yulia wulandari dokter gigi
52173,madrasah ibtida ylpi ibadurrahman,madrasah ibtidaiyah ylpi ibadurrahman
52174,akademi kebidanan gemi husada,akademi kebidanan gemilang husada
52175,akademi kebidanan gemilang hus,akademi kebidanan gemilang husada
52176,swad,swadaya
52177,agm furni -ho,agm furniture -ho
52178,pemeri kota salatiga satuan polisi pamong praja,pemerintah kota salatiga satuan polisi pamong praja
52179,pemerintah kota sala satuan polisi pamong praja,pemerintah kota salatiga satuan polisi pamong praja
52180,mi swa ma'arif 10 mergawati,mi swasta ma'arif 10 mergawati
52181,mi swasta ma'a 10 mergawati,mi swasta ma'arif 10 mergawati
52182,taman bug,taman bugenville
52183,pengrajin kain tenun atbm sinar baro,pengrajin kain tenun atbm sinar barokah
52184,dok wahi sud hus,dokter wahi sud hus
52185,ida ida,ida suprida
52186,hel? farm group,hel? farming group
52187,bint,bintoro
52188,gun mas motor,gunung mas motor
52189,gbi airman,gbi airmandidi
52190,taman pendid al qur'an baitus salam,taman pendidikan al qur'an baitus salam
52191,taman pendidikan al qur'an baitus al,taman pendidikan al qur'an baitus salam
52192,boule kelapa gad,boule kelapa gading
52193,lapa berlian banten ds pasir jaya kec cikupa kab tangerang,lapangan berlian banten ds pasir jaya kec cikupa kab tangerang
52194,lapangan berlian banten ds pasir jaya kec cikupa kab tange,lapangan berlian banten ds pasir jaya kec cikupa kab tangerang
52195,sun sun co,sunday sunday co
52196,sun sun co,sunday sunday co
52197,war soto daging,warung soto daging
52198,warung gant,warung gantung
52199,konv usna,konveksi usna
52200,mas darul uswah,masjid darul uswah
52201,yaya assalam bandungan,yayasan assalam bandungan
52202,gang peri 1,gang perintis 1
52203,pt. adis sejahtera mand,pt. adis sejahtera mandiri
52204,warung makan mad maning,warung makan madang maning
52205,yaya islam al ittihad,yayasan islam al ittihad
52206,pt.d baja masa (dbm),pt.delta baja masa (dbm)
52207,ayam gor enak,ayam goreng enak
52208,ped pintu,pedong pintu
52209,sd negeri gag kepuh sari,sd negeri gagang kepuh sari
52210,sd neg 97 manado,sd negeri 97 manado
52211,sd negeri percon kabanjahe,sd negeri percontohan kabanjahe
52212,maje tafsir alquran,majelis tafsir alquran
52213,majelis tafsir alqu,majelis tafsir alquran
52214,toko sent jaya,toko sentosa jaya
52215,sura raya,surabaya raya
52216,kh has ash,kh hasyim ash
52217,ud bijaksana sarm,ud bijaksana sarmani
52218,kober bela asy syifa,kober belajar asy syifa
52219,aneka gore bu joko,aneka gorengan bu joko
52220,baliskutisad h,baliskutisadventures h
52221,jl. mayj sut sisw d h perd,jl. mayj sut siswomi d h perd
52222,kope pegawai negeri melati,koperasi pegawai negeri melati
52223,koperasi pega negeri melati,koperasi pegawai negeri melati
52224,war bawang mama henggar,warung bawang mama henggar
52225,warung baw mama henggar,warung bawang mama henggar
52226,karang kel.,karanggayam kel.
52227,mas babul jannah,masjid babul jannah
52228,bimbi belajar visi,bimbingan belajar visi
52229,bimbingan bela visi,bimbingan belajar visi
52230,uptd pendid tanjungsiang,uptd pendidikan tanjungsiang
52231,must,mustofa
52232,sd neg 2 sei melawen,sd negeri 2 sei melawen
52233,poly mobile customer care,polytron mobile customer care
52234,polytron mob customer care,polytron mobile customer care
52235,fitn center,fitness center
52236,ked kemi,kedung kemi
52237,afa,afakih
52238,war makan bu pri,warung makan bu pri
52239,pon sukaw kalij,ponpes sukaw kalij
52240,tk dasa darma bukkan,tk dasa darma bukkangraki
52241,cv bint kejora,cv bintang kejora
52242,ayam gep mba miya,ayam geprek mba miya
52243,asr yatim dan dhuafa,asrama yatim dan dhuafa
52244,asrama yatim dan dhu,asrama yatim dan dhuafa
52245,pelabuhan gud garam,pelabuhan gudang garam
52246,bea florist,beauty florist
52247,geg ten 7,geg tengah 7
52248,dok verna w,dokter verna w
52249,sekret gowa max community,sekretariat gowa max community
52250,gg. ceng,gg. cengkeh
52251,war bu cicik,warung bu cicik
52252,toko bint jaya,toko bintang jaya
52253,pad 22,padema 22
52254,jl.k utara juru,jl.keba utara juru
52255,pasar jela polri,pasar jelambar polri
52256,apo tajna farma,apotik tajna farma
52257,sadh computer,sadhana computer
52258,mt no,mt haryono
52259,mie hokk udang fu kau,mie hokkian udang fu kau
52260,raff,raffles
52261,ika cendikiawan muslim indonesia,ikatan cendikiawan muslim indonesia
52262,ikatan cendik muslim indonesia,ikatan cendikiawan muslim indonesia
52263,ikatan cendikiawan mus indonesia,ikatan cendikiawan muslim indonesia
52264,quds shop solo,qudsiah shop solo
52265,ansor-b kota malang,ansor-banser kota malang
52266,mal,malang
52267,war kopral,warung kopral
52268,gereja gpdi lau dend,gereja gpdi lau dendang
52269,haji much,haji muchtar
52270,atm bank perm ahm cibitung 5,atm bank permata ahm cibitung 5
52271,atm bank permata ahm cibi 5,atm bank permata ahm cibitung 5
52272,dhar indah timur,dharmah indah timur
52273,arm billyard,armada billyard
52274,panasonic gobel indonesia serv center kertajaya,panasonic gobel indonesia service center kertajaya
52275,cukur ram becenk,cukur rambut becenk
52276,hkbp pon timur indah,hkbp pondok timur indah
52277,chai anwar,chairil anwar
52278,koko laun pardasuka,koko laundry pardasuka
52279,adhe laundry,adhellia laundry
52280,kantor konsu pajak wuyung dwi sayekti-surabaya,kantor konsultan pajak wuyung dwi sayekti-surabaya
52281,kantor konsultan pajak wuy dwi sayekti-surabaya,kantor konsultan pajak wuyung dwi sayekti-surabaya
52282,man rejo ix,manyar rejo ix
52283,baha toko,bahagia toko
52284,pen utara 4,pengad utara 4
52285,pt yak,pt yakult
52286,bakso jep sawahwaru,bakso jepret sawahwaru
52287,prabu dimu,prabu dimuntur
52288,shel 024,shelter 024
52289,toko gyp decoration,toko gypsum decoration
52290,toko gypsum decora,toko gypsum decoration
52291,dur i,durian i
52292,heppy tay toko,heppy taylor toko
52293,lani,lanida's
52294,pamun net,pamungkas net
52295,qui inspiration dan friends,quinik inspiration dan friends
52296,ist motor variasi,istana motor variasi
52297,perum phil rege,perumahan phil rege
52298,kan notaris jennie,kantor notaris jennie
52299,kantor no jennie,kantor notaris jennie
52300,perum nogot 5,perum nogotirto 5
52301,petta print centre,pettarani print centre
52302,alt cibu,altern cibu
52303,per bpd sei. pin dalam,per bpd sei. pinang dalam
52304,kan desa bulu tanah,kantor desa bulu tanah
52305,ker kencana. pt,kereta kencana. pt
52306,metrop massage,metropolis massage
52307,aice gud 44,aice gudang 44
52308,gatot subr,gatot subroto
52309,ptpn xii kantor wila kebun kalikempit,ptpn xii kantor wilayah kebun kalikempit
52310,cah star toko,cahaya star toko
52311,masjid jami al hida,masjid jami al hidayah
52312,ora computer,orange computer
52313,aspol sumo,aspol sumompo
52314,soer bandung,soerabi bandung
52315,tem ban,tempel ban
52316,bank mand,bank mandiri
52317,sekret united indonesia depok,sekretariat united indonesia depok
52318,pasar kome kbn bulok,pasar komersil kbn bulok
52319,pasar rebo simp,pasar rebo simpang
52320,nasi 5,nasional 5
52321,taman pendid al-quran al mubarah nw,taman pendidikan al-quran al mubarah nw
52322,taman pendidikan al al mubarah nw,taman pendidikan al-quran al mubarah nw
52323,bank dana indonesia pt tbk,bank danamon indonesia pt tbk
52324,bank danamon indon pt tbk,bank danamon indonesia pt tbk
52325,pt penda kat sejahtera,pt penda katapi sejahtera
52326,gg. sriwi,gg. sriwijaya
52327,indo property scbd,indoland property scbd
52328,kantor pengacara eddy hery dan rekan,kantor pengacara eddy heryanto dan rekan
52329,pen,pendid
52330,lif mobile,life's mobile
52331,brat bina viii,bratang bina viii
52332,deve design grafis,devector design grafis
52333,gedung wisma kos jasa,gedung wisma kospin jasa
52334,jend gatot subroto,jenderal gatot subroto
52335,kan sekertariat lsm perkara,kantor sekertariat lsm perkara
52336,pt pes mahameru,pt pesona mahameru
52337,mitra bukal nia kurniatin,mitra bukalapak nia kurniatin
52338,mitra bukalapak nia nia,mitra bukalapak nia kurniatin
52339,sd neg 2 purwawinangun,sd negeri 2 purwawinangun
52340,sd negeri 2 gun,sd negeri 2 purwawinangun
52341,parit pang,parit pangeran
52342,dia tupa grafika,diatei tupa grafika
52343,mush nurul iman,musholla nurul iman
52344,sd neg kalibanteng kidul 03,sd negeri kalibanteng kidul 03
52345,sd negeri kaliba kidul 03,sd negeri kalibanteng kidul 03
52346,sekret komunitas bisnis anak muda yang positif,sekretariat komunitas bisnis anak muda yang positif
52347,sekretariat komun bisnis anak muda yang positif,sekretariat komunitas bisnis anak muda yang positif
52348,sekretariat komunitas bis anak muda yang positif,sekretariat komunitas bisnis anak muda yang positif
52349,moro sen toko,moro seneng toko
52350,sel,selabi
52351,pana litak,panangka litak
52352,pasar min cell,pasar minggu cell
52353,mall taman angg p.2 18,mall taman anggrek p.2 18
52354,raya cisoka,raya cisoka-ti
52355,gbi jem kristus raja,gbi jemaat kristus raja
52356,sd bina warga palem,sd bina warga palembang
52357,pang diponegoro,pangeran diponegoro
52358,putera perwira dirgan pt,putera perwira dirgantara pt
52359,toko cat ment baru 3,toko cat mentari baru 3
52360,bay utara,bayang utara
52361,jl. raya seri gang mum,"jl. raya seririt, gang mum"
52362,pem,pemuda
52363,ruko metro squ,ruko metro square
52364,dok sem raya,dok semeru raya
52365,rm pad sederhana omega,rm padang sederhana omega
52366,ayam pen super pedas,ayam penyet super pedas
52367,war jajan seblak enayy,warung jajan seblak enayy
52368,warung jajan seb enayy,warung jajan seblak enayy
52369,sdn japa 2,sdn japanan 2
52370,assamawaat al al al hasani,assamawaat al maliki al hasani
52371,assamawaat al maliki al has,assamawaat al maliki al hasani
52372,bpr talabumi sung pt,bpr talabumi sunggal pt
52373,nasi gor rahayu,nasi goreng rahayu
52374,dukuh kup barat,dukuh kupang barat
52375,dip ten,dipone ten
52376,"pondok pesan yanabi, banjarmasin","pondok pesantren yanabi, banjarmasin"
52377,pondok pesantren yana banjarmasin,"pondok pesantren yanabi, banjarmasin"
52378,maria feel -ho,maria feeling -ho
52379,kud,kudus-
52380,bela berkah,belanja berkah
52381,buak,buakana
52382,anug pratama kaltim cv,anugerah pratama kaltim cv
52383,anugerah pratama kal cv,anugerah pratama kaltim cv
52384,pesan miftahul huda putra putri,pesantren miftahul huda putra putri
52385,surya lest iv,surya lestari iv
52386,pastori ger baptis indonesia ngadinegaran,pastori gereja baptis indonesia ngadinegaran
52387,pastori gereja baptis indon ngadinegaran,pastori gereja baptis indonesia ngadinegaran
52388,jl. pel 7 jl. tom ban kanal,jl. pel 7 jl. tomang ban kanal
52389,cah mulia,cahaya mulia
52390,war pak min,warkop pak min
52391,dimas drill pt,dimas drillindo pt
52392,pura bale agung desa kat,pura bale agung desa katung
52393,ger katolik majaran-sorong,gereja katolik majaran-sorong
52394,komplek nagoya gar,komplek nagoya garden
52395,rest,restoran
52396,cv. merp taxi,cv. merpati taxi
52397,yos suda ujung,yos sudarso ujung
52398,cv kemb tanjung,cv kembang tanjung
52399,pand mandiri group,pandawa mandiri group
52400,buana bak,buana bakery
52401,rm lese seruit,rm lesehan seruit
52402,empu prap,empu prapanca
52403,stokis glub banjarmasin,stokis gluberry banjarmasin
52404,murah meriah masa padang,murah meriah masakan padang
52405,taman pendidikan al-qur'an (tpa tpq) raudh shibyan,taman pendidikan al-qur'an (tpa tpq) raudhotus shibyan
52406,kemakm,kemakmuran
52407,war dua satu,warkop dua satu
52408,war faramitha coto makassar,warung faramitha coto makassar
52409,tk.mat bangun jaya,tk.material bangun jaya
52410,raya suk,raya sukawe
52411,smk swa tarbiyah islamiyah,smk swasta tarbiyah islamiyah
52412,smk swasta tarb islamiyah,smk swasta tarbiyah islamiyah
52413,wateg bah,wateg bahari
52414,dr. nenny ser sianturi,dr. nenny serena sianturi
52415,aqi,aqiqah
52416,ment tengg,menteng tengg
52417,tk yaya nurul quran,tk yayasan nurul quran
52418,lese jagung bakar cemoro sewu,lesehan jagung bakar cemoro sewu
52419,lesehan jagung bakar cem sewu,lesehan jagung bakar cemoro sewu
52420,event organ palembang,event organizer palembang
52421,nind laundry,nindiya laundry
52422,tours dan tra pt. nur ramadhan,tours dan travel pt. nur ramadhan
52423,balong tama,balongsari tama
52424,war makan saniya,warung makan saniya
52425,nissan- sandubaya,nissan-datsun sandubaya
52426,nissan-datsun sandu,nissan-datsun sandubaya
52427,muti bakery,mutiara bakery
52428,mutiara bak,mutiara bakery
52429,warung pad murah,warung padang murah
52430,raya cila k. k. o.,raya cilandak k. k. o.
52431,pen enak,pentol enak
52432,raya man tirto,raya man tirtoasri
52433,dewi sart,dewi sartika
52434,viet jaya,vietindo jaya
52435,depot zawara fro food,depot zawara frozen food
52436,angg law,anggrek law
52437,dok gigi ny. yusra mahyudin,dokter gigi ny. yusra mahyudin
52438,dokter gigi ny. yusra mahy,dokter gigi ny. yusra mahyudin
52439,fik corner,fikris corner
52440,kap sut,kapten sut
52441,pela villa,pelangi villa
52442,setu hati,setulus hati
52443,kill kopitiam,killiney kopitiam
52444,percet dan sablon,percetakan dan sablon
52445,mas bendu i,mas bendungan i
52446,pad sidem,padang sidem
52447,sd negeri kemu wetan 02,sd negeri kemurang wetan 02
52448,suramen,suramenggala
52449,toko seder,toko sederhana
52450,saha bangun negeri,sahabat bangun negeri
52451,sahabat ban negeri,sahabat bangun negeri
52452,mas mubaraq,masjid mubaraq
52453,gedung antam off park,gedung antam office park
52454,tb sim,tb simatu
52455,smp neg 2 tanah masa,smp negeri 2 tanah masa
52456,baw goreng ariqa,bawang goreng ariqa
52457,avoc lovers,avocado lovers
52458,optik mand,optik mandiri
52459,jl. jatiw,jl. jatiwangi
52460,bank neg indonesia,bank negara indonesia
52461,sam brun,sam brunang
52462,paud almutt bilake,paud almuttaqin bilake
52463,vedho chan surabaya,"vedho channel, surabaya"
52464,kan pemerintah kab. bantaeng,kantor pemerintah kab. bantaeng
52465,kan hukum subet siregar s.h & rekan,kantor hukum subet siregar s.h & rekan
52466,kantor hukum subet sire s.h & rekan,kantor hukum subet siregar s.h & rekan
52467,kantor hukum subet siregar s.h & kan,kantor hukum subet siregar s.h & rekan
52468,karya ten cv,karya tenda. cv
52469,kope simpan pinjam anyar sari sedana,koperasi simpan pinjam anyar sari sedana
52470,koperasi sim pinjam anyar sari sedana,koperasi simpan pinjam anyar sari sedana
52471,koperasi simpan pin anyar sari sedana,koperasi simpan pinjam anyar sari sedana
52472,pm cell 321,pm cellular 321
52473,mt riya jannah,mt riyadul jannah
52474,corn sim,corn simanj
52475,tk islam bait sholihin,tk islam baitush sholihin
52476,adi multi sar pt,adi multi sarana pt
52477,nota rachmat praptono sh,notaris rachmat praptono sh
52478,elektr service,elektronik service
52479,sma kris ditkesad,sma kristen ditkesad
52480,hos. cokr,hos. cokroam
52481,nurha a,nurhayati a
52482,beng ketok magic sanjaya,bengkel ketok magic sanjaya
52483,bengkel ketok magic sanj,bengkel ketok magic sanjaya
52484,jaka cargotama handling pt,jakarta cargotama handling pt
52485,jakarta cargotama hand pt,jakarta cargotama handling pt
52486,manu lor iii a,manukan lor iii a
52487,inko kios kerajinan,inkopau kios kerajinan
52488,cv erasy infotama,cv erasystem infotama
52489,pete cell,peterpan cell
52490,pangkas ram ryan,pangkas rambut ryan
52491,sans well batam,sans wellness batam
52492,lapa ngruweng,lapangan ngruweng
52493,pon pad indah,pon padala indah
52494,yel black coffee and tea,yellow black coffee and tea
52495,cire raya,cirendeu raya
52496,pom ben mini,pom bensin mini
52497,men astra lt 2,menara astra lt 2
52498,jend sudi,jend sudirman
52499,ment indah vi f,menteng indah vi f
52500,raya jatinom-b,raya jatinom-boyolali
52501,mas al-ikhwan,masjid al-ikhwan
52502,ked taru baru iv d,ked tarukan baru iv d
52503,wid sablon,widass sablon
52504,kamp seng,kampung seng
52505,madr diniyah al-falah,madrasah diniyah al-falah
52506,kota langsa- sumut,kota langsa-batas sumut
52507,kan desa bulian,kantor desa bulian
52508,graha fami,graha familiy
52509,ekowisata cili kelapa dua,ekowisata ciliwung kelapa dua
52510,jend. sudi,jend. sudirman
52511,jual tana hias,jual tanaman hias
52512,sd neg 3 panji kidul,sd negeri 3 panji kidul
52513,kan bos,kantin bos
52514,pesan sirajul imam bondowoso,pesantren sirajul imam bondowoso
52515,pesantren sira imam bondowoso,pesantren sirajul imam bondowoso
52516,nga dadi i,ngagel dadi i
52517,panas gobel indonesia service center,panasonic gobel indonesia service center
52518,panasonic gobel indonesia serv center,panasonic gobel indonesia service center
52519,"jemb paras, tanjunganom, gabus","jembatan paras, tanjunganom, gabus"
52520,"jembatan par tanjunganom, gabus","jembatan paras, tanjunganom, gabus"
52521,"jembatan paras, tanjung gabus","jembatan paras, tanjunganom, gabus"
52522,pang rambut melati,pangkas rambut melati
52523,batas tanah karo-s dolog,batas tanah karo-seribu dolog
52524,pang jayak,pangeran jayak
52525,pek,pekaru
52526,war pagi mbak endang lapangan,warung pagi mbak endang lapangan
52527,tanj hara,tanj harapan
52528,bak koedung,bakoel koedung
52529,bakoel koed,bakoel koedung
52530,kope serba usaha,koperasi serba usaha
52531,kalij tar i,kalijudan tar i
52532,raya gun gad,raya gun gadung
52533,jl raya lebeng.s perti,jl raya lebeng.samping perti
52534,reka mitra pratama pt,rekanesa mitra pratama pt
52535,gel baru barat 2,gelong baru barat 2
